Year,Name,College,POS,Height,Weight,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017,Zach Cunningham,Vanderbilt,LB,75.25,234,9.25,34.38,22,4.67,15,35,125,,7.03,
2017,Jeremy Cutrer,Middle Tennessee State,CB,74,170,,,,,,,,4.26,,
2017,Darrell Daniels,Washington,TE,75.13,247,10.25,34.5,,4.55,17,32,116,4.47,7.09,
2017,Amara Darboh,Michigan,WR,73.75,214,9.88,32.63,,4.45,17,36,124,4.26,,11.88
2017,Julie'n Davenport,Bucknell (PA),OT,78.75,318,10.5,36.5,28,5.45,18,27,106,4.69,7.57,
2017,Corey Davis,Western Michigan,WR,74.75,209,9.13,33,31,,,,,4.28,,11.48
2017,Jarrad Davis,Florida,LB,73.25,238,9.75,33.5,22,,,,,4.39,,
2017,Justin Davis,Southern California,RB,72.63,208,9.63,31,,,21,,,4.32,,11.29
2017,Keionta Davis,Tennessee-Chattanooga,DE,75,271,9.5,34,,,,,,4.46,,
2017,Kevin Davis,Colorado State,LB,73.75,235,10.25,32.38,,4.91,11,30.5,110,4.5,7.18,
2017,Robert Davis,Georgia State,WR,74.75,219,9.63,33,,4.44,19,41,136,4.28,6.82,11.77
2017,Dion Dawkins,Temple,OG,75.88,314,9.88,35,12,5.11,26,26,106,4.78,7.3,
2017,Matt Dayes,North Carolina State,RB,68.63,205,10.5,30,12,,18,28,109,,,
2017,Treston Decoud,Oregon State,CB,73.75,206,9.25,33,,4.62,11,31,116,,,
2017,J.J. Dielman,Utah,C,76.75,309,10,32.25,,,27,,,4.84,,
2017,Joshua Dobbs,Tennessee,QB,75.25,216,9.25,32.63,29,4.64,,33,122,4.31,6.75,
2017,Dylan Donahue,West Georgia,DL,74.63,248,9,30.25,,4.75,26,29.5,116,,7.02,
2017,Rasul Douglas,West Virginia,CB,74,209,9.25,32.38,,4.59,16,33.5,120,4.26,6.97,
2017,Jessamen Dunker,Tennessee State,OG,76.13,318,10,33.5,,4.98,23,28.5,108,4.13,,11.2
2017,Malachi Dupre,Louisiana State,WR,74.13,196,9,31.5,,4.52,11,39.5,135,4.26,7.19,
2017,Travin Dural,Louisiana State,WR,73,202,9,32,,4.57,,30.5,116,4.55,7.29,
2017,Ken Ekanem,Virginia Tech,DL,74.63,257,10.5,32,,4.88,,30.5,115,4.4,7.38,
2017,Corn Elder,Miami (FL),CB,70.13,183,8.75,31.25,,4.55,,,,,,
2017,Pat Elflein,Ohio State,C,74.75,303,9.75,33.25,21,5.32,22,23.5,99,4.71,7.94,
2017,Jake Elliott,Memphis,K,69.25,167,9,29,,4.79,,,,,,
2017,Jermaine Eluemunor,Texas A&M,OL,75.63,332,9.5,33.25,,5.22,34,,,,,
2017,Darius English,South Carolina,OLB,78,245,,,,,,,,4.94,,
2017,Evan Engram,Mississippi,TE,75.13,234,10,33.5,26,4.42,19,36,125,4.23,6.92,
2017,Amba Etta-Tawo,Syracuse,WR,73.25,208,9.13,32,,4.49,14,31,126,4.32,6.95,
2017,Jerod Evans,Virginia Tech,QB,74.63,232,9.38,33.13,21,4.8,,26.5,112,4.41,,
2017,Justin Evans,Texas A&M,SS,72,199,9.75,32,25,,14,,,,,
2017,Gerald Everett,South Alabama,TE,74.75,239,8.5,33,24,4.62,22,37.5,126,4.33,6.99,11.57
2017,Dan Feeney,Indiana,OG,76,305,10.25,33.38,29,5.24,26,28,101,4.68,7.52,
2017,Devonte' Fields,Louisville,OLB,74.38,236,9,32.38,,4.72,,34,124,4.88,7.4,
2017,Tarean Folston,Notre Dame,RB,69,214,,,,,,,,4.2,,11.53
2017,Isaiah Ford,Virginia Tech,WR,73.25,194,9.25,32.63,,4.61,14,35.5,127,4.34,6.94,
2017,Rudy Ford,Auburn,FS,71.13,205,8.88,30,,,20,,,4.21,,11.22
2017,D'Onta Foreman,Texas,RB,72.25,233,10.13,31.38,,,18,,,4.28,,
2017,Reuben Foster,Alabama,LB,72.25,229,10.25,32.38,9,,,,,,,
2017,Leonard Fournette,Louisiana State,RB,72.13,240,9.25,31.63,11,4.51,,28.5,,,,
2017,Kyle Fuller,Baylor,C,76.75,307,9.38,32.88,,5.24,23,26,96,4.84,7.71,
2017,Wayne Gallman,Clemson,RB,72.25,215,9.13,32.63,,4.6,21,29.5,120,4.28,7.17,11.92
2017,Antonio Garcia,Troy (AL),OT,78.38,302,9.88,33.38,,5.15,24,31,108,4.94,7.98,
2017,Myles Garrett,Texas A&M,DE,76.25,272,10.25,35.25,31,4.64,33,41,128,4.2,,11.43
2017,Ben Gedeon,Michigan,ILB,73.63,244,10,32.63,,4.75,27,34.5,119,4.39,6.98,11.84
2017,Avery Gennesy,Texas A&M,OT,75,318,9.5,33.63,,5.35,24,20,91,5,8.08,
2017,Nate Gerry,Nebraska,SS,73.88,218,9.25,31.25,,4.58,17,30.5,122,,,
2017,Shelton Gibson,West Virginia,WR,71.13,191,8.88,32,,4.5,8,32,118,4.2,6.83,11.79
2017,Ryan Glasgow,Michigan,DT,74.88,302,9.63,33.38,,5.13,20,27.5,105,4.62,7.55,
2017,Davon Godchaux,Louisiana State,DT,75.13,310,10.25,32.38,,5.27,18,,,4.43,,
2017,Kenny Golladay,Northern Illinois,WR,75.75,218,9.75,32,,4.5,18,35.5,120,4.15,7,
2017,Zane Gonzalez,Arizona State,K,72.25,202,9,29.5,,,,,,,,
2017,Evan Goodman,Arizona State,OG,76,306,,,,,,,,4.81,,
2017,Shaquill Griffin,Central Florida,DB,71.75,194,8.75,32.38,,4.38,17,38.5,132,4.14,6.87,
2017,Nate Hairston,Temple,CB,71.88,196,9.5,31,,4.52,14,35.5,118,4.45,,
2017,Daeshon Hall,Texas A&M,DE,77.38,266,9.63,35,,4.76,18,36,123,4.63,7.03,
2017,Chad Hansen,California,WR,73.75,202,10.13,32.13,,4.53,11,35,119,4.13,6.74,11.17
2017,Sean Harlow,Oregon State,OG,76.13,303,9.5,32,,5.15,26,30.5,105,4.81,8.16,
2017,Charles Harris,Missouri,DE,74.63,253,9.63,32.38,23,4.82,21,32,109,4.56,7.47,
2017,Connor Harris,Lindenwood (MO),ILB,71,242,9.38,30.13,25,4.73,18,33,114,4.18,7.13,
2017,Josh Harvey-Clemons,Louisville,FS,76.13,217,10.38,35.38,,,12,31.5,121,,,
2017,Keon Hatcher,Arkansas,WR,73.25,212,9.5,32,,4.64,16,,,4.28,,
2017,Carlos Henderson,Louisiana Tech,WR,70.75,199,9.13,31.38,,4.46,13,36,131,4.35,7.18,
2017,DeAngelo Henderson,Coastal Carolina (SC),RB,67.5,208,9.5,29,,4.48,20,34,120,,,
2017,Trey Hendrickson,Florida Atlantic,DE,75.88,266,9.88,32,,4.65,,33.5,122,4.4,7.03,12.43
2017,Jordan Herdman,Simon Fraser (Canada),LB,71,238,8.13,29.88,,,,,,,,
2017,Cole Hikutini,Louisville,TE,76.13,247,10,32.75,,,20,,,4.34,,
2017,Brian Hill,Wyoming,RB,72.63,219,8.88,31.38,,4.54,15,34,125,4.32,7.03,
2017,Delano Hill,Michigan,SS,72.63,216,9.38,32.13,,4.47,17,33.5,115,4.27,6.96,
2017,Bucky Hodges,Virginia Tech,TE,78.13,257,10.13,32.5,,4.57,18,39,134,4.45,,11.46
